fide_id,name,federation,gender,title,yob,Attribute,Value
1503014,"Carlsen, Magnus",NOR,M,GM,1990,standard,2862
1503014,"Carlsen, Magnus",NOR,M,GM,1990,rapid,2881
1503014,"Carlsen, Magnus",NOR,M,GM,1990,blitz,2886
2020009,"Caruana, Fabiano",USA,M,GM,1992,standard,2823
2020009,"Caruana, Fabiano",USA,M,GM,1992,rapid,2773
2020009,"Caruana, Fabiano",USA,M,GM,1992,blitz,2711
4100018,"Kasparov, Garry",RUS,M,GM,1963,standard,2812
4100018,"Kasparov, Garry",RUS,M,GM,1963,rapid,2783
4100018,"Kasparov, Garry",RUS,M,GM,1963,blitz,2801
8603677,"Ding, Liren",CHN,M,GM,1992,standard,2791
8603677,"Ding, Liren",CHN,M,GM,1992,rapid,2836
8603677,"Ding, Liren",CHN,M,GM,1992,blitz,2788
4168119,"Nepomniachtchi, Ian",RUS,M,GM,1990,standard,2789
4168119,"Nepomniachtchi, Ian",RUS,M,GM,1990,rapid,2778
4168119,"Nepomniachtchi, Ian",RUS,M,GM,1990,blitz,2785
623539,"Vachier-Lagrave, Maxime",FRA,M,GM,1990,standard,2784
623539,"Vachier-Lagrave, Maxime",FRA,M,GM,1990,rapid,2860
623539,"Vachier-Lagrave, Maxime",FRA,M,GM,1990,blitz,2822
13300474,"Aronian, Levon",ARM,M,GM,1982,standard,2781
13300474,"Aronian, Levon",ARM,M,GM,1982,rapid,2778
13300474,"Aronian, Levon",ARM,M,GM,1982,blitz,2739
4126025,"Grischuk, Alexander",RUS,M,GM,1983,standard,2777
4126025,"Grischuk, Alexander",RUS,M,GM,1983,rapid,2784
4126025,"Grischuk, Alexander",RUS,M,GM,1983,blitz,2765
13401319,"Mamedyarov, Shakhriyar",AZE,M,GM,1985,standard,2770
13401319,"Mamedyarov, Shakhriyar",AZE,M,GM,1985,rapid,2761
13401319,"Mamedyarov, Shakhriyar",AZE,M,GM,1985,blitz,2716
5202213,"So, Wesley",USA,M,GM,1993,standard,2770
5202213,"So, Wesley",USA,M,GM,1993,rapid,2741
5202213,"So, Wesley",USA,M,GM,1993,blitz,2816
13400924,"Radjabov, Teimour",AZE,M,GM,1987,standard,2765
13400924,"Radjabov, Teimour",AZE,M,GM,1987,rapid,2758
13400924,"Radjabov, Teimour",AZE,M,GM,1987,blitz,2757
24116068,"Giri, Anish",NED,M,GM,1994,standard,2764
24116068,"Giri, Anish",NED,M,GM,1994,rapid,2731
24116068,"Giri, Anish",NED,M,GM,1994,blitz,2752
8602883,"Wang, Hao",CHN,M,GM,1989,standard,2763
8602883,"Wang, Hao",CHN,M,GM,1989,rapid,2750
8602883,"Wang, Hao",CHN,M,GM,1989,blitz,2712
738590,"Rapport, Richard",HUN,M,GM,1996,standard,2759
738590,"Rapport, Richard",HUN,M,GM,1996,rapid,2727
738590,"Rapport, Richard",HUN,M,GM,1996,blitz,2759
3503240,"Dominguez Perez, Leinier",USA,M,GM,1983,standard,2758
3503240,"Dominguez Perez, Leinier",USA,M,GM,1983,rapid,2786
3503240,"Dominguez Perez, Leinier",USA,M,GM,1983,blitz,2654
14109603,"Karjakin, Sergey",RUS,M,GM,1990,standard,2757
14109603,"Karjakin, Sergey",RUS,M,GM,1990,rapid,2709
14109603,"Karjakin, Sergey",RUS,M,GM,1990,blitz,2765
4101588,"Kramnik, Vladimir",RUS,M,GM,1975,standard,2753
4101588,"Kramnik, Vladimir",RUS,M,GM,1975,rapid,2756
4101588,"Kramnik, Vladimir",RUS,M,GM,1975,blitz,2797
5000017,"Anand, Viswanathan",IND,M,GM,1969,standard,2753
5000017,"Anand, Viswanathan",IND,M,GM,1969,rapid,2751
5000017,"Anand, Viswanathan",IND,M,GM,1969,blitz,2785
12573981,"Firouzja, Alireza",FID,M,GM,2003,standard,2749
12573981,"Firouzja, Alireza",FID,M,GM,2003,rapid,2703
12573981,"Firouzja, Alireza",FID,M,GM,2003,blitz,2770
1170546,"Duda, Jan-Krzysztof",POL,M,GM,1998,standard,2743
1170546,"Duda, Jan-Krzysztof",POL,M,GM,1998,rapid,2774
1170546,"Duda, Jan-Krzysztof",POL,M,GM,1998,blitz,2799
